,MeshBlockCode,CityCode,City,StateCode,State,LgaCode,LgaName
0,40001810000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
1,40215100100,40002,Adelaide,4,South Australia,40070,Adelaide (C)
2,40000090000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
3,40215293600,40002,Adelaide,4,South Australia,40070,Adelaide (C)
4,40244030000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
5,40000142000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
6,40002530000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
7,40001890000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
8,40214988500,40002,Adelaide,4,South Australia,40070,Adelaide (C)
9,40214955300,40002,Adelaide,4,South Australia,40070,Adelaide (C)
10,40000360000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
11,40215151800,40002,Adelaide,4,South Australia,40070,Adelaide (C)
12,40001800000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
13,40001410000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
14,40002320000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
15,40001080000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
16,40002310000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
17,40244050000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
18,40002780000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
19,40001150000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
20,40003260000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
21,40001091000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
22,40244120000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
23,40002820000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
24,40244101000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
25,40244130000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
26,40001093000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
27,40003280000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
28,40244092000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
29,40244091000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
30,40244080000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
31,40244102000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
32,40000850000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
33,40000800000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
34,40002302000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
35,40003410000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
36,40001340000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
37,40001420000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
38,40003420000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
39,40002301000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
40,40000390000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
41,40001880000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
42,40244010000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
43,40003460000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
44,40003400000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
45,40215155500,40002,Adelaide,4,South Australia,40070,Adelaide (C)
46,40215046300,40002,Adelaide,4,South Australia,40070,Adelaide (C)
47,40215280300,40002,Adelaide,4,South Australia,40070,Adelaide (C)
48,40414810000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
49,40244000000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
50,40414850000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
51,40243990000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
52,40002980000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
53,40001630000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
54,40215155600,40002,Adelaide,4,South Australia,40070,Adelaide (C)
55,40243910000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
56,40243880000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
57,40001120000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
58,40002340000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
59,40001660000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
60,40002360000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
61,40243980000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
62,40243970000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
63,40001110000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
64,40243960000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
65,40243920000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
66,40243900000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
67,40243890000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
68,40243930000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
69,40000170000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
70,40003270000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
71,40003140000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
72,40243950000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
73,40002960000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
74,40244060000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
75,40244070000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
76,40000162000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
77,40000163000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
78,40000164000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
79,40000165000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
80,40001540000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
81,40002100000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
82,40414930000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
83,40002610000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
84,40003700000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
85,40414920000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
86,40001470000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
87,40415100000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
88,40000240000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
89,40001640000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
90,40001380000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
91,40243820000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
92,40002070000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
93,40001650000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
94,40000770000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
95,40003010000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
96,40000230000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
97,40414830000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
98,40001060000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
99,40000510000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
100,40002971000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
101,40002370000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
102,40000152000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
103,40000153000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
104,40215155800,40002,Adelaide,4,South Australia,40070,Adelaide (C)
105,40000154000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
106,40000155000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
107,40002972000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
108,40002974000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
109,40002560000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
110,40002973000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
111,40003150000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
112,40243852000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
113,40243851000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
114,40214955000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
115,40003390000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
116,40001401000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
117,40000660000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
118,40215151700,40002,Adelaide,4,South Australia,40070,Adelaide (C)
119,40215097900,40002,Adelaide,4,South Australia,40070,Adelaide (C)
120,40215039500,40002,Adelaide,4,South Australia,40070,Adelaide (C)
121,40003180000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
122,40214963300,40002,Adelaide,4,South Australia,40070,Adelaide (C)
123,40214989800,40002,Adelaide,4,South Australia,40070,Adelaide (C)
124,40001840000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
125,40003170000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
126,40214972900,40002,Adelaide,4,South Australia,40070,Adelaide (C)
127,40003220000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
128,40001850000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
129,40002600000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
130,40214963400,40002,Adelaide,4,South Australia,40070,Adelaide (C)
131,40002291000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
132,40002283000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
133,40002292000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
134,40002580000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
135,40215151400,40002,Adelaide,4,South Australia,40070,Adelaide (C)
136,40002770000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
137,40000630000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
138,40002282000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
139,40001580000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
140,40002281000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
141,40215245400,40002,Adelaide,4,South Australia,40070,Adelaide (C)
142,40002730000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
143,40214956200,40002,Adelaide,4,South Australia,40070,Adelaide (C)
144,40001041000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
145,40215046000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
146,40001020000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
147,40003200000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
148,40215028000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
149,40000940000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
150,40215028100,40002,Adelaide,4,South Australia,40070,Adelaide (C)
151,40000790000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
152,40001680000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
153,40003380000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
154,40244570000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
155,40215154900,40002,Adelaide,4,South Australia,40070,Adelaide (C)
156,40215299400,40002,Adelaide,4,South Australia,40070,Adelaide (C)
157,40001310000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
158,40003230000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
159,40003370000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
160,40001600000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
161,40244560000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
162,40001140000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
163,40215152000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
164,40002510000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
165,40002110000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
166,40002390000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
167,40244550000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
168,40001833000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
169,40001032000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
170,40001670000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
171,40001831000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
172,40001160000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
173,40001590000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
174,40215155700,40002,Adelaide,4,South Australia,40070,Adelaide (C)
175,40001832000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
176,40000614000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
