,MeshBlockCode,LgaCode,LgaName
0,40000009499,49499,No usual address (SA)
1,40000010000,40070,Adelaide (C)
2,40000021000,40070,Adelaide (C)
3,40000022000,40070,Adelaide (C)
4,40000023000,40070,Adelaide (C)
5,40000024000,40070,Adelaide (C)
6,40000030000,40070,Adelaide (C)
7,40000040000,40070,Adelaide (C)
8,40000051000,40070,Adelaide (C)
9,40000052000,40070,Adelaide (C)
10,40000053000,40070,Adelaide (C)
11,40000060000,40070,Adelaide (C)
12,40000071000,40070,Adelaide (C)
13,40000073000,40070,Adelaide (C)
14,40000074000,40070,Adelaide (C)
15,40000080000,40070,Adelaide (C)
16,40000090000,40070,Adelaide (C)
17,40000100000,40070,Adelaide (C)
18,40000110000,40070,Adelaide (C)
19,40000120000,40070,Adelaide (C)
20,40000130000,40070,Adelaide (C)
21,40000142000,40070,Adelaide (C)
22,40000152000,40070,Adelaide (C)
23,40000153000,40070,Adelaide (C)
24,40000154000,40070,Adelaide (C)
25,40000155000,40070,Adelaide (C)
26,40000161000,40070,Adelaide (C)
27,40000162000,40070,Adelaide (C)
28,40000163000,40070,Adelaide (C)
29,40000164000,40070,Adelaide (C)
30,40000165000,40070,Adelaide (C)
31,40000170000,40070,Adelaide (C)
32,40000190000,40070,Adelaide (C)
33,40000210000,40070,Adelaide (C)
34,40000220000,40070,Adelaide (C)
35,40000230000,40070,Adelaide (C)
36,40000240000,40070,Adelaide (C)
37,40000251000,40070,Adelaide (C)
38,40000252000,40070,Adelaide (C)
39,40000253000,40070,Adelaide (C)
40,40000261000,40070,Adelaide (C)
41,40000262000,40070,Adelaide (C)
42,40000270000,40070,Adelaide (C)
43,40000280000,40070,Adelaide (C)
44,40000290000,40070,Adelaide (C)
45,40000300000,40070,Adelaide (C)
46,40000311000,40070,Adelaide (C)
47,40000312000,40070,Adelaide (C)
48,40000320000,40070,Adelaide (C)
49,40000330000,40070,Adelaide (C)
50,40000340000,40070,Adelaide (C)
51,40000350000,40070,Adelaide (C)
52,40000360000,40070,Adelaide (C)
53,40000370000,40070,Adelaide (C)
54,40000390000,40070,Adelaide (C)
55,40000411000,40070,Adelaide (C)
56,40000412000,40070,Adelaide (C)
57,40000420000,40070,Adelaide (C)
58,40000460000,40070,Adelaide (C)
59,40000500000,40070,Adelaide (C)
60,40000510000,40070,Adelaide (C)
61,40000520000,40070,Adelaide (C)
62,40000530000,40070,Adelaide (C)
63,40000550000,40070,Adelaide (C)
