,CityCode,City,Title,Label,CityCount,CityPercent,RegionCount,RegionPercent,CountryCount,CountryPercent,CityCountNum,CityPercentNum
0,40048,Athelstone,People,Male,"4,548",49.7,"825,997",49.3,"11,546,638",49.3,4548.0,49.7
1,40048,Athelstone,People,Female,"4,601",50.3,"850,652",50.7,"11,855,248",50.7,4601.0,50.3
2,40048,Athelstone,People,Aboriginal and/or Torres Strait Islander people,46,0.5,"34,184",2.0,"649,171",2.8,46.0,0.5
3,40048,Athelstone,Age,Median age,43,--,40,--,38,--,43.0,0.0
4,40048,Athelstone,Age,0-4 years,444,4.9,"97,072",5.8,"1,464,779",6.3,444.0,4.9
5,40048,Athelstone,Age,5-9 years,501,5.5,"100,466",6.0,"1,502,646",6.4,501.0,5.5
6,40048,Athelstone,Age,10-14 years,541,5.9,"95,461",5.7,"1,397,183",6.0,541.0,5.9
7,40048,Athelstone,Age,15-19 years,622,6.8,"100,686",6.0,"1,421,595",6.1,622.0,6.8
8,40048,Athelstone,Age,20-24 years,621,6.8,"107,986",6.4,"1,566,793",6.7,621.0,6.8
9,40048,Athelstone,Age,25-29 years,480,5.2,"107,361",6.4,"1,664,602",7.1,480.0,5.2
10,40048,Athelstone,Age,30-34 years,451,4.9,"110,751",6.6,"1,703,847",7.3,451.0,4.9
11,40048,Athelstone,Age,35-39 years,533,5.8,"102,818",6.1,"1,561,679",6.7,533.0,5.8
12,40048,Athelstone,Age,40-44 years,611,6.7,"106,650",6.4,"1,583,257",6.8,611.0,6.7
13,40048,Athelstone,Age,45-49 years,701,7.7,"113,619",6.8,"1,581,455",6.8,701.0,7.7
14,40048,Athelstone,Age,50-54 years,728,8.0,"113,272",6.8,"1,523,551",6.5,728.0,8.0
15,40048,Athelstone,Age,55-59 years,699,7.6,"111,896",6.7,"1,454,332",6.2,699.0,7.6
16,40048,Athelstone,Age,60-64 years,614,6.7,"102,028",6.1,"1,299,397",5.6,614.0,6.7
17,40048,Athelstone,Age,65-69 years,569,6.2,"96,286",5.7,"1,188,999",5.1,569.0,6.2
18,40048,Athelstone,Age,70-74 years,428,4.7,"72,563",4.3,"887,716",3.8,428.0,4.7
19,40048,Athelstone,Age,75-79 years,324,3.5,"53,885",3.2,"652,657",2.8,324.0,3.5
20,40048,Athelstone,Age,80-84 years,174,1.9,"39,374",2.3,"460,549",2.0,174.0,1.9
21,40048,Athelstone,Age,85 years and over,102,1.1,"44,479",2.7,"486,842",2.1,102.0,1.1
22,40048,Athelstone,Registered marital status,Married,"4,469",58.4,"659,638",47.7,"9,148,218",48.1,4469.0,58.4
23,40048,Athelstone,Registered marital status,Separated,144,1.9,"44,199",3.2,"608,059",3.2,144.0,1.9
24,40048,Athelstone,Registered marital status,Divorced,517,6.8,"127,916",9.2,"1,626,890",8.5,517.0,6.8
25,40048,Athelstone,Registered marital status,Widowed,303,4.0,"83,281",6.0,"985,204",5.2,303.0,4.0
26,40048,Athelstone,Registered marital status,Never married,"2,216",29.0,"468,621",33.9,"6,668,910",35.0,2216.0,29.0
27,40048,Athelstone,Social marital status,Registered marriage,"4,227",57.9,"582,236",47.4,"8,001,141",47.7,4227.0,57.9
28,40048,Athelstone,Social marital status,De facto marriage,404,5.5,"126,020",10.3,"1,751,731",10.4,404.0,5.5
29,40048,Athelstone,Social marital status,Not married,"2,664",36.5,"520,539",42.4,"7,024,973",41.9,2664.0,36.5
30,40048,Athelstone,Education,Preschool,103,4.2,"20,292",4.2,"347,621",4.8,103.0,4.2
31,40048,Athelstone,Education,Primary - Government,453,18.3,"94,526",19.5,"1,314,787",18.2,453.0,18.3
32,40048,Athelstone,Education,Primary - Catholic,271,11.0,"26,196",5.4,"380,604",5.3,271.0,11.0
33,40048,Athelstone,Education,Primary - other non Government,57,2.3,"22,589",4.7,"231,490",3.2,57.0,2.3
34,40048,Athelstone,Education,Secondary - Government,268,10.8,"52,721",10.9,"827,505",11.5,268.0,10.8
35,40048,Athelstone,Education,Secondary - Catholic,281,11.4,"19,484",4.0,"338,384",4.7,281.0,11.4
36,40048,Athelstone,Education,Secondary - other non Government,68,2.7,"21,053",4.3,"280,618",3.9,68.0,2.7
37,40048,Athelstone,Education,Technical or further education institution,138,5.6,"31,394",6.5,"424,869",5.9,138.0,5.6
38,40048,Athelstone,Education,University or tertiary institution,536,21.7,"78,780",16.2,"1,160,626",16.1,536.0,21.7
39,40048,Athelstone,Education,Other,54,2.2,"11,501",2.4,"198,383",2.8,54.0,2.2
40,40048,Athelstone,Education,Not stated,244,9.9,"106,438",21.9,"1,707,023",23.7,244.0,9.9
41,40048,Athelstone,Level of highest Educational attainment,Bachelor Degree level and above,"1,853",24.2,"256,510",18.5,"4,181,406",22.0,1853.0,24.2
42,40048,Athelstone,Level of highest Educational attainment,Advanced Diploma and Diploma level,791,10.3,"115,102",8.3,"1,687,893",8.9,791.0,10.3
43,40048,Athelstone,Level of highest Educational attainment,Certificate level IV,239,3.1,"42,793",3.1,"551,767",2.9,239.0,3.1
44,40048,Athelstone,Level of highest Educational attainment,Certificate level III,981,12.8,"188,790",13.6,"2,442,203",12.8,981.0,12.8
45,40048,Athelstone,Level of highest Educational attainment,Year 12,"1,426",18.6,"214,813",15.5,"2,994,097",15.7,1426.0,18.6
46,40048,Athelstone,Level of highest Educational attainment,Year 11,695,9.1,"128,782",9.3,"941,531",4.9,695.0,9.1
47,40048,Athelstone,Level of highest Educational attainment,Year 10,591,7.7,"138,607",10.0,"2,054,331",10.8,591.0,7.7
48,40048,Athelstone,Level of highest Educational attainment,Certificate level II,0,0.0,"1,077",0.1,"13,454",0.1,0.0,0.0
49,40048,Athelstone,Level of highest Educational attainment,Certificate level I,0,0.0,174,0.0,"2,176",0.0,0.0,0.0
50,40048,Athelstone,Level of highest Educational attainment,Year 9 or below,518,6.8,"119,572",8.6,"1,529,897",8.0,518.0,6.8
51,40048,Athelstone,Level of highest Educational attainment,No educational attainment,50,0.7,"11,000",0.8,"145,844",0.8,50.0,0.7
52,40048,Athelstone,Level of highest Educational attainment,Not stated,335,4.4,"129,257",9.3,"1,974,794",10.4,335.0,4.4
53,40048,Athelstone,Employment,Worked full-time,"2,696",53.6,"435,110",53.9,"6,623,065",57.7,2696.0,53.6
54,40048,Athelstone,Employment,Worked part-time,"1,823",36.3,"270,409",33.5,"3,491,503",30.4,1823.0,36.3
55,40048,Athelstone,Employment,Away from work,228,4.5,"40,582",5.0,"569,276",5.0,228.0,4.5
56,40048,Athelstone,Employment,Unemployed,279,5.6,"60,488",7.5,"787,452",6.9,279.0,5.6
57,40048,Athelstone,Median weekly incomes,Personal,678,--,600,--,662,--,678.0,0.0
58,40048,Athelstone,Median weekly incomes,Family,"1,901",--,"1,510",--,"1,734",--,1901.0,0.0
59,40048,Athelstone,Median weekly incomes,Household,"1,634",--,"1,206",--,"1,438",--,1634.0,0.0
60,40048,Athelstone,Family composition,Couple family without children,995,36.8,"178,588",40.2,"2,291,987",37.8,995.0,36.8
61,40048,Athelstone,Family composition,Couple family with children,"1,378",51.0,"184,733",41.6,"2,716,224",44.7,1378.0,51.0
62,40048,Athelstone,Family composition,One parent family,303,11.2,"73,128",16.5,"959,543",15.8,303.0,11.2
63,40048,Athelstone,Family composition,Other family,26,1.0,"7,282",1.6,"102,559",1.7,26.0,1.0
64,40048,Athelstone,Single (or lone) parents,Male,--,19.1,--,19.4,--,18.2,0.0,19.1
65,40048,Athelstone,Single (or lone) parents,Female,--,80.9,--,80.6,--,81.8,0.0,80.9
66,40048,Athelstone,Employment status of parents,"Both employed, worked full-time",403,16.9,"67,049",18.5,"1,084,006",21.6,403.0,16.9
67,40048,Athelstone,Employment status of parents,"Both employed, worked part-time",107,4.5,"16,589",4.6,"203,596",4.1,107.0,4.5
68,40048,Athelstone,Employment status of parents,"One employed full-time, one part-time",666,28.0,"83,567",23.0,"1,086,460",21.7,666.0,28.0
69,40048,Athelstone,Employment status of parents,"One employed full-time, other not working",312,13.1,"47,483",13.1,"749,886",15.0,312.0,13.1
