,MeshBlockCode,CityCode,City,StateCode,State,LgaCode,LgaName
0,40117850000,40001,Aberfoyle Park,4,South Australia,45340,Onkaparinga (C)
1,40000010000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
2,40213870000,40003,Adelaide Airport,4,South Australia,48410,West Torrens (C)
3,40222260000,40004,Agery,4,South Australia,48830,Yorke Peninsula (DC)
4,40068086000,40005,Alawoona,4,South Australia,43790,Loxton Waikerie (DC)
5,40038120000,40006,Albert Park,4,South Australia,41060,Charles Sturt (C)
6,40150780000,40007,Alberton,4,South Australia,45890,Port Adelaide Enfield (C)
7,40003800000,40008,Aldgate,4,South Australia,40120,Adelaide Hills (DC)
8,40111080000,40009,Aldinga,4,South Australia,45340,Onkaparinga (C)
9,40121020000,40010,Aldinga Beach,4,South Australia,45340,Onkaparinga (C)
10,40016080000,40011,Alford,4,South Australia,40430,Barunga West (DC)
11,40035000000,40012,Allenby Gardens,4,South Australia,41060,Charles Sturt (C)
12,40053700000,40013,Allendale East,4,South Australia,42250,Grant (DC)
13,40064750000,40014,Allendale North,4,South Australia,43650,Light (RegC)
14,40044612000,40015,Alma,4,South Australia,41140,Clare and Gilbert Valleys (DC)
15,40014230000,40016,Altona,4,South Australia,40310,Barossa (DC)
16,40012550000,40017,Amata,4,South Australia,40250,Anangu Pitjantjatjara (AC)
17,40061020000,40018,American Beach,4,South Australia,42750,Kangaroo Island (DC)
18,40060460000,40019,American River,4,South Australia,42750,Kangaroo Island (DC)
19,40099020000,40020,Amyton,4,South Australia,44830,Mount Remarkable (DC)
20,40044464000,40021,Anama,4,South Australia,41140,Clare and Gilbert Valleys (DC)
21,40012480000,40022,Anangu Pitjantjatjara Yankunytjatjara,4,South Australia,40250,Anangu Pitjantjatjara (AC)
22,40240580000,40023,Andamooka,4,South Australia,49399,Unincorporated SA
23,40215199000,40024,Andamooka Station,4,South Australia,49399,Unincorporated SA
24,40103000000,40025,Andrews,4,South Australia,45120,Northern Areas (DC)
25,40136372000,40026,Andrews Farm,4,South Australia,45680,Playford (C)
26,40011590000,40027,Angas Plains,4,South Australia,40220,Alexandrina (DC)
27,40083360000,40028,Angas Valley,4,South Australia,44210,Mid Murray (DC)
28,40012981000,40029,Angaston,4,South Australia,40310,Barossa (DC)
29,40149100000,40030,Angle Park,4,South Australia,45890,Port Adelaide Enfield (C)
30,40135632000,40031,Angle Vale,4,South Australia,45680,Playford (C)
31,40083430000,40032,Annadale,4,South Australia,44210,Mid Murray (DC)
32,40060700000,40033,Antechamber Bay,4,South Australia,42750,Kangaroo Island (DC)
33,40083260000,40034,Apamurra,4,South Australia,44210,Mid Murray (DC)
34,40052870000,40035,Apoinga,4,South Australia,42110,Goyder (DC)
35,40098900000,40036,Appila,4,South Australia,44830,Mount Remarkable (DC)
36,40215067000,40037,Arcoona,4,South Australia,49399,Unincorporated SA
37,40215010800,40038,Ardrossan,4,South Australia,48830,Yorke Peninsula (DC)
38,40215190500,40039,Arkaroola Village,4,South Australia,49399,Unincorporated SA
39,40044201000,40040,Armagh,4,South Australia,41140,Clare and Gilbert Valleys (DC)
40,40045490000,40041,Arno Bay,4,South Australia,41190,Cleve (DC)
41,40219250000,40042,Arthurton,4,South Australia,48830,Yorke Peninsula (DC)
42,40076360000,40043,Ascot Park,4,South Australia,44060,Marion (C)
43,40011351000,40044,Ashbourne,4,South Australia,40220,Alexandrina (DC)
44,40206881000,40045,Ashford,4,South Australia,48410,West Torrens (C)
45,40005521000,40046,Ashton,4,South Australia,40120,Adelaide Hills (DC)
46,40193770000,40047,Ashville,4,South Australia,47800,The Coorong (DC)
47,40023510000,40048,Athelstone,4,South Australia,40910,Campbelltown (C)
48,40041851000,40049,Athol Park,4,South Australia,41060,Charles Sturt (C)
49,40044451000,40050,Auburn,4,South Australia,41140,Clare and Gilbert Valleys (DC)
50,40018060000,40051,Auldana,4,South Australia,40700,Burnside (C)
51,40053200000,40052,Australia Plains,4,South Australia,42110,Goyder (DC)
52,40063760000,40053,Avenue Range,4,South Australia,43360,Kingston (DC)
53,40099492000,40054,Avoca Dell,4,South Australia,45040,Murray Bridge (RC)
54,40202820000,40055,Avon,4,South Australia,48130,Wakefield (DC)
55,40202160000,40056,Back Valley,4,South Australia,48050,Victor Harbor (C)
56,40064720000,40057,Bagot Well,4,South Australia,43650,Light (RegC)
57,40179310000,40058,Baird Bay,4,South Australia,47490,Streaky Bay (DC)
58,40062410000,40059,Bakara,4,South Australia,43080,Karoonda East Murray (DC)
59,40068550000,40060,Bakara Well,4,South Australia,43790,Loxton Waikerie (DC)
60,40202320000,40061,Balaklava,4,South Australia,48130,Wakefield (DC)
