,MeshBlockCode,CityCode,City,StateCode,State,LgaCode,LgaName
0,40000010000,40002,Adelaide,4,South Australia,40070,Adelaide (C)
1,40003800000,40008,Aldgate,4,South Australia,40120,Adelaide Hills (DC)
2,40069060000,40434,Fischer,4,South Australia,40150,Adelaide Plains (DC)
3,40008440000,41180,Port Elliot,4,South Australia,40220,Alexandrina (DC)
4,40012460000,41208,Pukatja,4,South Australia,40250,Anangu Pitjantjatjara (AC)
5,40012970000,40441,Flaxman Valley,4,South Australia,40310,Barossa (DC)
6,40015810000,41520,Ward Hill,4,South Australia,40430,Barunga West (DC)
7,40016731000,40072,Barmera,4,South Australia,40520,Berri and Barmera (DC)
8,40017980000,40192,Burnside,4,South Australia,40700,Burnside (C)
9,40023430000,41266,Rostrevor,4,South Australia,40910,Campbelltown (C)
10,40029700000,40246,Charra,4,South Australia,41010,Ceduna (DC)
11,40030390000,41550,West Beach,4,South Australia,41060,Charles Sturt (C)
12,40044190000,41451,Tothill Belt,4,South Australia,41140,Clare and Gilbert Valleys (DC)
13,40045370000,40267,Cleve,4,South Australia,41190,Cleve (DC)
14,40045740000,40293,Coober Pedy,4,South Australia,41330,Coober Pedy (DC)
15,40046150000,41502,Wallaroo,4,South Australia,41560,Copper Coast (DC)
16,40048940000,41404,Talia,4,South Australia,41750,Elliston (DC)
17,40049500000,41220,Quorn,4,South Australia,41830,Flinders Ranges (DC)
18,40050022000,40316,Cowell,4,South Australia,41960,Franklin Harbour (DC)
19,40050410000,40417,Evanston,4,South Australia,42030,Gawler (T)
20,40052691000,40193,Burra,4,South Australia,42110,Goyder (DC)
21,40053700000,40013,Allendale East,4,South Australia,42250,Grant (DC)
22,40054720000,41339,Somerton Park,4,South Australia,42600,Holdfast Bay (C)
23,40060310000,41011,Nepean Bay,4,South Australia,42750,Kangaroo Island (DC)
24,40062310000,40466,Galga,4,South Australia,43080,Karoonda East Murray (DC)
25,40062590000,40706,Koongawa,4,South Australia,43220,Kimba (DC)
26,40062920000,41515,Wangolina,4,South Australia,43360,Kingston (DC)
27,40064390000,40530,Greenock,4,South Australia,43650,Light (RegC)
28,40066040000,40277,Coffin Bay,4,South Australia,43710,Lower Eyre Peninsula (DC)
29,40067820000,40136,Bookpurnong,4,South Australia,43790,Loxton Waikerie (DC)
30,40071801000,41272,SA Remainder,4,South Australia,44000,Maralinga Tjarutja (AC)
31,40071830000,40271,Tonsley,4,South Australia,44060,Marion (C)
32,40082420000,41023,Nildottie,4,South Australia,44210,Mid Murray (DC)
33,47000001777,49797,Migratory - Offshore - Shipping,4,South Australia,49799,Migratory - Offshore - Shipping (SA)
34,40084500000,40088,Belair,4,South Australia,44340,Mitcham (C)
35,40092421000,41453,Totness,4,South Australia,44550,Mount Barker (DC)
36,40053734000,40497,Glenburnie,4,South Australia,44620,Mount Gambier (C)
37,40098420000,41599,Wilmington,4,South Australia,44830,Mount Remarkable (DC)
38,40099410000,40979,Murray Bridge,4,South Australia,45040,Murray Bridge (RC)
39,40101620000,40292,Conmurra,4,South Australia,45090,Naracoorte and Lucindale (DC)
40,40000009499,49494,No usual address,4,South Australia,49499,No usual address (SA)
41,40102780000,41345,Spalding,4,South Australia,45120,Northern Areas (DC)
42,40103760000,40636,Joslin,4,South Australia,45290,Norwood Payneham St Peters (C)
43,40109000000,40539,Hackham West,4,South Australia,45340,Onkaparinga (C)
44,40128590000,41069,Orroroo,4,South Australia,45400,Orroroo/Carrieton (DC)
45,40128950000,41671,Yongala,4,South Australia,45540,Peterborough (DC)
46,40129450000,40322,Craigmore,4,South Australia,45680,Playford (C)
47,40138030000,41484,Valley View,4,South Australia,45890,Port Adelaide Enfield (C)
48,40152541000,41175,Port Augusta,4,South Australia,46090,Port Augusta (C)
49,40154790000,41187,Port Lincoln,4,South Australia,46300,Port Lincoln (C)
50,40156882000,41195,Port Pirie,4,South Australia,46450,Port Pirie City and Dists (M)
51,40159910000,41313,Sefton Park,4,South Australia,46510,Prospect (C)
52,40162330000,41139,Pike River,4,South Australia,46670,Renmark Paringa (DC)
53,40163400000,41251,Robe,4,South Australia,46860,Robe (DC)
54,40164020000,41268,Roxby Downs,4,South Australia,46970,Roxby Downs (M)
55,40164450000,41092,Parafield Gardens,4,South Australia,47140,Salisbury (C)
56,40178870000,40740,Lameroo,4,South Australia,47290,Southern Mallee (DC)
57,40179210000,41383,Streaky Bay,4,South Australia,47490,Streaky Bay (DC)
58,40179910000,40142,Bordertown,4,South Australia,47630,Tatiara (DC)
59,40180970000,40893,Modbury North,4,South Australia,47700,Tea Tree Gully (C)
60,40192880000,40356,Deepwater,4,South Australia,47800,The Coorong (DC)
61,40194260000,40166,Brooker,4,South Australia,47910,Tumby Bay (DC)
62,40193110000,40728,Lake Albert,4,South Australia,49399,Unincorporated SA
63,40194830000,41102,Parkside,4,South Australia,47980,Unley (C)
64,40199760000,40406,Encounter Bay,4,South Australia,48050,Victor Harbor (C)
65,40202260000,40291,Condowie,4,South Australia,48130,Wakefield (DC)
66,40203540000,41483,Vale Park,4,South Australia,48260,Walkerville (M)
67,40204700000,41124,Penola,4,South Australia,48340,Wattle Range (DC)
68,40206881000,40045,Ashford,4,South Australia,48410,West Torrens (C)
69,40214900000,41574,Whyalla Norrie,4,South Australia,48540,Whyalla (C)
70,40063780000,41644,Wudinna,4,South Australia,48640,Wudinna (DC)
71,40215000400,41028,Normanville,4,South Australia,48750,Yankalilla (DC)
72,40214967800,41199,Port Victoria,4,South Australia,48830,Yorke Peninsula (DC)
