,HierarchyLevel,CategoryName,CategoryId,Level1,Level2,Level3,Level4,Level5
0,1,Arts & Entertainment,4d4b7104d754a06370d81259,Arts & Entertainment,,,,
1,2,Amphitheater,56aa371be4b08b9a8d5734db,Arts & Entertainment,Amphitheater,,,
2,2,Aquarium,4fceea171983d5d06c3e9823,Arts & Entertainment,Aquarium,,,
3,2,Arcade,4bf58dd8d48988d1e1931735,Arts & Entertainment,Arcade,,,
4,2,Art Gallery,4bf58dd8d48988d1e2931735,Arts & Entertainment,Art Gallery,,,
5,2,Bowling Alley,4bf58dd8d48988d1e4931735,Arts & Entertainment,Bowling Alley,,,
6,2,Casino,4bf58dd8d48988d17c941735,Arts & Entertainment,Casino,,,
7,2,Circus,52e81612bcbc57f1066b79e7,Arts & Entertainment,Circus,,,
8,2,Comedy Club,4bf58dd8d48988d18e941735,Arts & Entertainment,Comedy Club,,,
9,2,Concert Hall,5032792091d4c4b30a586d5c,Arts & Entertainment,Concert Hall,,,
10,2,Country Dance Club,52e81612bcbc57f1066b79ef,Arts & Entertainment,Country Dance Club,,,
11,2,Disc Golf,52e81612bcbc57f1066b79e8,Arts & Entertainment,Disc Golf,,,
12,2,Exhibit,56aa371be4b08b9a8d573532,Arts & Entertainment,Exhibit,,,
13,2,General Entertainment,4bf58dd8d48988d1f1931735,Arts & Entertainment,General Entertainment,,,
14,2,Go Kart Track,52e81612bcbc57f1066b79ea,Arts & Entertainment,Go Kart Track,,,
15,2,Historic Site,4deefb944765f83613cdba6e,Arts & Entertainment,Historic Site,,,
16,2,Karaoke Box,5744ccdfe4b0c0459246b4bb,Arts & Entertainment,Karaoke Box,,,
17,2,Laser Tag,52e81612bcbc57f1066b79e6,Arts & Entertainment,Laser Tag,,,
18,2,Memorial Site,5642206c498e4bfca532186c,Arts & Entertainment,Memorial Site,,,
19,2,Mini Golf,52e81612bcbc57f1066b79eb,Arts & Entertainment,Mini Golf,,,
20,2,Movie Theater,4bf58dd8d48988d17f941735,Arts & Entertainment,Movie Theater,,,
21,3,Drive-in Theater,56aa371be4b08b9a8d5734de,Arts & Entertainment,Movie Theater,Drive-in Theater,,
22,3,Indie Movie Theater,4bf58dd8d48988d17e941735,Arts & Entertainment,Movie Theater,Indie Movie Theater,,
23,3,Multiplex,4bf58dd8d48988d180941735,Arts & Entertainment,Movie Theater,Multiplex,,
24,2,Museum,4bf58dd8d48988d181941735,Arts & Entertainment,Museum,,,
25,3,Art Museum,4bf58dd8d48988d18f941735,Arts & Entertainment,Museum,Art Museum,,
26,3,Erotic Museum,559acbe0498e472f1a53fa23,Arts & Entertainment,Museum,Erotic Museum,,
27,3,History Museum,4bf58dd8d48988d190941735,Arts & Entertainment,Museum,History Museum,,
28,3,Planetarium,4bf58dd8d48988d192941735,Arts & Entertainment,Museum,Planetarium,,
29,3,Science Museum,4bf58dd8d48988d191941735,Arts & Entertainment,Museum,Science Museum,,
30,2,Music Venue,4bf58dd8d48988d1e5931735,Arts & Entertainment,Music Venue,,,
31,3,Jazz Club,4bf58dd8d48988d1e7931735,Arts & Entertainment,Music Venue,Jazz Club,,
32,3,Piano Bar,4bf58dd8d48988d1e8931735,Arts & Entertainment,Music Venue,Piano Bar,,
33,3,Rock Club,4bf58dd8d48988d1e9931735,Arts & Entertainment,Music Venue,Rock Club,,
34,2,Pachinko Parlor,5744ccdfe4b0c0459246b4b8,Arts & Entertainment,Pachinko Parlor,,,
35,2,Performing Arts Venue,4bf58dd8d48988d1f2931735,Arts & Entertainment,Performing Arts Venue,,,
36,3,Dance Studio,4bf58dd8d48988d134941735,Arts & Entertainment,Performing Arts Venue,Dance Studio,,
37,3,Indie Theater,4bf58dd8d48988d135941735,Arts & Entertainment,Performing Arts Venue,Indie Theater,,
38,3,Opera House,4bf58dd8d48988d136941735,Arts & Entertainment,Performing Arts Venue,Opera House,,
39,3,Theater,4bf58dd8d48988d137941735,Arts & Entertainment,Performing Arts Venue,Theater,,
40,2,Pool Hall,4bf58dd8d48988d1e3931735,Arts & Entertainment,Pool Hall,,,
41,2,Public Art,507c8c4091d498d9fc8c67a9,Arts & Entertainment,Public Art,,,
42,3,Outdoor Sculpture,52e81612bcbc57f1066b79ed,Arts & Entertainment,Public Art,Outdoor Sculpture,,
43,3,Street Art,52e81612bcbc57f1066b79ee,Arts & Entertainment,Public Art,Street Art,,
44,2,Racecourse,56aa371be4b08b9a8d573514,Arts & Entertainment,Racecourse,,,
45,2,Racetrack,4bf58dd8d48988d1f4931735,Arts & Entertainment,Racetrack,,,
46,2,Roller Rink,52e81612bcbc57f1066b79e9,Arts & Entertainment,Roller Rink,,,
47,2,Salsa Club,52e81612bcbc57f1066b79ec,Arts & Entertainment,Salsa Club,,,
48,2,Samba School,56aa371be4b08b9a8d5734f9,Arts & Entertainment,Samba School,,,
49,2,Stadium,4bf58dd8d48988d184941735,Arts & Entertainment,Stadium,,,
50,3,Baseball Stadium,4bf58dd8d48988d18c941735,Arts & Entertainment,Stadium,Baseball Stadium,,
