,VenueId,VenueName,VenueLatitude,VenueLongitude,CategoryId,VenueAddress,City,HierarchyLevel,CategoryName,Level1,Level2,Level3,Level4,Level5,MeshBlockCode,CityCode,StateCode,State,LgaCode,LgaName,Key,LgaGroup,VenueCount,EgmCount,TotalNgr,TotalNgrPerAdult,MachinesPer1000Adult,AvgNgrPerMachine,AggregateNgrPerLgaStr,AverageNgrPerVenueStr,TotalNgrPerAdultStr,AvgNgrPerMachineStr,RankTotalNgr,RankTotalNgrPerAdult,RankEgmsPer1000Adult,RankAvgNgrPerMachine,Address,PostalCode,Latitude,Longitude,People,MedianAge,HouseholdIncome,Dwellings
0,4c874f439c808cfad73e131e,Turramurra,-34.85320027024336,138.7007706942149,4bf58dd8d48988d18b941735,"1000 Lower North East Rd, Highbury SA 5089, Australia",Highbury,3,Basketball Stadium,Arts & Entertainment,Stadium,Basketball Stadium,,,40184360000,40581,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Highbury SA 5089, Australia",5089,-34.854,138.697,6588.0,42,"1,705","2,334"
2,4de7344eb0fb2165e1a08def,Golden Grove Rec Centre,-34.792938640227625,138.69419983861792,4bf58dd8d48988d18b941735,"2 Tenison Pl, Golden Grove SA 5125, Australia",Golden Grove,3,Basketball Stadium,Arts & Entertainment,Stadium,Basketball Stadium,,,40184101000,40511,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Golden Grove SA 5125, Australia",5125,-34.7838889,138.7061111,10237.0,42,"1,519","3,763"
3,4dfd624f483b96a3aaa974aa,Foxfield Football Oval,-34.880648465314565,138.7014665347889,4bf58dd8d48988d189941735,"84 Maryvale Rd, Athelstone SA 5076, Australia",Athelstone,3,Football Stadium,Arts & Entertainment,Stadium,Football Stadium,,,40023510000,40048,4,South Australia,40910,Campbelltown (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Athelstone SA 5076, Australia",5076,-34.87,138.703,9149.0,43,"1,634","3,327"
9,4e06ae252271dfa46baaf2c2,Tea Tree Gully Football Club,-34.81036855644958,138.72810120040148,4bf58dd8d48988d189941735,"10 Spring Cres, Banksia Park SA 5091, Australia",Banksia Park,3,Football Stadium,Arts & Entertainment,Stadium,Football Stadium,,,40184040000,40069,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Banksia Park SA 5091, Australia",5091,-34.8090822,138.7316925,3286.0,40,"1,492","1,179"
10,4e5777ea52b1748f80678521,Harpers Field,-34.77592089411077,138.7277482105644,4bf58dd8d48988d189941735,"39 One Tree Hill Rd, Golden Grove SA 5125, Australia",Golden Grove,3,Football Stadium,Arts & Entertainment,Stadium,Football Stadium,,,40184101000,40511,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Golden Grove SA 5125, Australia",5125,-34.7838889,138.7061111,10237.0,42,"1,519","3,763"
19,4baedd4ff964a5200dde3be3,Hoyts Cinema,-34.83127446965543,138.68992087521727,4bf58dd8d48988d180941735,"974 North East Road, Modbury SA 5092, Australia",Modbury,3,Multiplex,Arts & Entertainment,Movie Theater,Multiplex,,,40188841000,40891,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury SA 5092, Australia",5092,-34.833333,138.683333,5244.0,37,"1,084","2,047"
20,4c8ca02b5e048cfa25a2cecd,Hoyts ttp cinema 2,-34.82368424468338,138.69986905453624,4bf58dd8d48988d180941735,"4 Danum St, Ridgehaven SA 5097, Australia",Ridgehaven,3,Multiplex,Arts & Entertainment,Movie Theater,Multiplex,,,40180990000,41244,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Ridgehaven SA 5097, Australia",5097,-34.822,138.704,4008.0,42,"1,112","1,660"
26,4c29d66efe6e2d7f3359553c,Bed,-34.822147,138.705424,4bf58dd8d48988d1f1931735,"28 Tareena St, Ridgehaven SA 5097, Australia",Ridgehaven,2,General Entertainment,Arts & Entertainment,General Entertainment,,,,40180990000,41244,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Ridgehaven SA 5097, Australia",5097,-34.822,138.704,4008.0,42,"1,112","1,660"
27,53970937498e65d34f41f226,Starr Djz,-34.82859,138.69625,4bf58dd8d48988d1f1931735,"10 Henry St, Modbury SA 5092, Australia",Modbury,2,General Entertainment,Arts & Entertainment,General Entertainment,,,,40188841000,40891,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"Modbury SA 5092, Australia",5092,-34.833333,138.683333,5244.0,37,"1,084","2,047"
29,50415546e4b0c996b2a0c05f,Wizbang Family Fun Centre,-34.8314786370867,138.70626415045388,4bf58dd8d48988d1f1931735,"110 Tolley Rd, St Agnes SA 5097, Australia",Saint Agnes,2,General Entertainment,Arts & Entertainment,General Entertainment,,,,40188851000,41353,4,South Australia,47700,Tea Tree Gully (C),7.0,"Campbelltown (C), Tea Tree Gully (C)",12.0,438.0,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5.0,27.0,42.0,1.0,"St Agnes SA 5097, Australia",5097,-34.830278,138.711111,4136.0,44,"1,345","1,564"
