,Key,LgaName,LgaGroup,VenueCount,EgmCount,TotalNgr,TotalNgrPerAdult,MachinesPer1000Adult,AvgNgrPerMachine,AverageNgrPerVenue,AggregateNgrPerLgaStr,AverageNgrPerVenueStr,TotalNgrPerAdultStr,AvgNgrPerMachineStr,RankTotalNgr,RankTotalNgrPerAdult,RankEgmsPer1000Adult,RankAvgNgrPerMachine,MeshBlockCode,CityCode,City,StateCode,State,LgaCode
0,1,Adelaide (C),Adelaide (C),37,790,22031.14,939.63,33.27,27976.05,595436.28,"$22,031,142","$595,436",$940,"$27,976",10,3,1,31,40000010000,40002,Adelaide,4,South Australia,40070
1,2,Adelaide Hills (DC),Adelaide Hills (DC),15,211,3600.18,117.74,6.9,17022.15,240012.32,"$3,600,185","$240,012",$118,"$17,022",34,42,36,40,40003800000,40008,Aldgate,4,South Australia,40120
2,3,Alexandrina (DC),Alexandrina (DC),13,250,7569.47,343.41,11.29,30522.06,582266.93,"$7,569,470","$582,267",$343,"$30,522",25,31,23,28,40008440000,41180,Port Elliot,4,South Australia,40220
3,4,Barossa (DC),Barossa (DC),14,256,6329.95,327.96,13.18,24345.97,452139.35,"$6,329,951","$452,139",$328,"$24,346",26,32,16,34,40012970000,40441,Flaxman Valley,4,South Australia,40310
4,5,Barunga West (DC),"Barunga West (DC), Copper Coast (DC)",16,273,8929.39,625.48,19.02,33194.74,558086.58,"$8,929,385","$558,087",$625,"$33,195",22,13,5,25,40015810000,41520,Ward Hill,4,South Australia,40430
5,5,Copper Coast (DC),"Barunga West (DC), Copper Coast (DC)",16,273,8929.39,625.48,19.02,33194.74,558086.58,"$8,929,385","$558,087",$625,"$33,195",22,13,5,25,40046150000,41502,Wallaroo,4,South Australia,41560
6,6,Berri and Barmera (DC),Berri and Barmera (DC),6,164,6007.86,708.37,19.33,35975.22,1001310.36,"$6,007,862","$1,001,310",$708,"$35,975",27,8,4,24,40016731000,40072,Barmera,4,South Australia,40520
7,7,Campbelltown (C),"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,3660234.43,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,40023430000,41266,Rostrevor,4,South Australia,40910
8,7,Tea Tree Gully (C),"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,3660234.43,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,40180970000,40893,Modbury North,4,South Australia,47700
9,8,Ceduna (DC),"Ceduna (DC), Streaky Bay (DC), Wudinna (DC), Elliston (DC), Lower Eyre Peninsula (DC)",10,140,3697.83,353.17,13.37,26893.33,369783.35,"$3,697,833","$369,783",$353,"$26,893",33,29,14,32,40029700000,40246,Charra,4,South Australia,41010
