index,Key,LgaName,LgaGroup,VenueCount,EgmCount,TotalNgr,TotalNgrPerAdult,MachinesPer1000Adult,AvgNgrPerMachine,AverageNgrPerVenue,AggregateNgrPerLgaStr,AverageNgrPerVenueStr,TotalNgrPerAdultStr,AvgNgrPerMachineStr,RankTotalNgr,RankTotalNgrPerAdult,RankEgmsPer1000Adult,RankAvgNgrPerMachine
0,1,Adelaide (C),Adelaide (C),37,790,22031.14,939.63,33.27,27976.05,595436.28,"$22,031,142","$595,436",$940,"$27,976",10,3,1,31
1,2,Adelaide Hills (DC),Adelaide Hills (DC),15,211,3600.18,117.74,6.9,17022.15,240012.32,"$3,600,185","$240,012",$118,"$17,022",34,42,36,40
2,3,Alexandrina (DC),Alexandrina (DC),13,250,7569.47,343.41,11.29,30522.06,582266.93,"$7,569,470","$582,267",$343,"$30,522",25,31,23,28
3,4,Barossa (DC),Barossa (DC),14,256,6329.95,327.96,13.18,24345.97,452139.35,"$6,329,951","$452,139",$328,"$24,346",26,32,16,34
4,5,"Barunga West (DC), Copper Coast (DC)","Barunga West (DC), Copper Coast (DC)",16,273,8929.39,625.48,19.02,33194.74,558086.58,"$8,929,385","$558,087",$625,"$33,195",22,13,5,25
5,6,Berri and Barmera (DC),Berri and Barmera (DC),6,164,6007.86,708.37,19.33,35975.22,1001310.36,"$6,007,862","$1,001,310",$708,"$35,975",27,8,4,24
6,7,"Campbelltown (C), Tea Tree Gully (C)","Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,3660234.43,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1
7,8,"Ceduna (DC), Streaky Bay (DC), Wudinna (DC), Elliston (DC), Lower Eyre Peninsula (DC)","Ceduna (DC), Streaky Bay (DC), Wudinna (DC), Elliston (DC), Lower Eyre Peninsula (DC)",10,140,3697.83,353.17,13.37,26893.33,369783.35,"$3,697,833","$369,783",$353,"$26,893",33,29,14,32
8,9,Charles Sturt (C),Charles Sturt (C),24,789,58454.72,609.69,8.19,74087.1,2435613.41,"$58,454,722","$2,435,613",$610,"$74,087",4,17,32,7
9,10,Clare and Gilbert Valleys (DC),Clare and Gilbert Valleys (DC),7,88,2151.73,291.39,11.87,24451.45,307389.6,"$2,151,727","$307,390",$291,"$24,451",39,35,21,33
10,11,Gawler (T),Gawler (T),8,214,13938.8,733.63,11.18,65134.6,1742350.62,"$13,938,805","$1,742,351",$734,"$65,135",15,6,25,9
11,12,"Goyder (DC), Northern Areas (DC)","Goyder (DC), Northern Areas (DC)",6,49,717.62,103.0,7.04,14796.21,119602.72,"$717,616","$119,603",$103,"$14,796",43,43,35,42
12,13,Holdfast Bay (C),Holdfast Bay (C),11,376,20523.26,661.16,12.07,54510.66,1865751.19,"$20,523,263","$1,865,751",$661,"$54,511",11,10,20,13
13,14,"Kangaroo Island (DC), Yankalilla (DC), Victor Harbor (C)","Kangaroo Island (DC), Yankalilla (DC), Victor Harbor (C)",11,227,8910.41,415.37,10.53,40136.96,810036.85,"$8,910,405","$810,037",$415,"$40,137",23,26,27,21
14,15,"Kimba (DC), Cleve (DC), Tumby Bay (DC), Franklin Harbour (DC)","Kimba (DC), Cleve (DC), Tumby Bay (DC), Franklin Harbour (DC)",7,77,1069.78,199.12,14.35,13893.28,152826.11,"$1,069,783","$152,826",$199,"$13,893",40,38,11,43
15,16,Loxton Waikerie (DC),Loxton Waikerie (DC),4,121,3922.69,427.73,13.19,32418.94,980673.06,"$3,922,692","$980,673",$428,"$32,419",31,24,15,26
16,17,"Light (RegC), Adelaide Plains (DC)","Light (RegC), Adelaide Plains (DC)",11,104,3018.17,164.76,5.65,29020.86,274379.03,"$3,018,169","$274,379",$165,"$29,021",35,39,38,29
17,18,Marion (C),Marion (C),10,328,26850.22,359.37,4.37,81241.22,2685022.25,"$26,850,223","$2,685,022",$359,"$81,241",9,28,41,5
18,19,Mid Murray (DC),Mid Murray (DC),9,114,2288.33,301.98,14.99,20073.07,254258.9,"$2,288,330","$254,259",$302,"$20,073",38,33,9,39
19,20,"Mitcham (C), Burnside (C)","Mitcham (C), Burnside (C)",6,211,13658.89,153.53,2.37,63529.7,2276480.9,"$13,658,885","$2,276,481",$154,"$63,530",16,41,43,10
20,21,Mount Barker (DC),Mount Barker (DC),10,235,9389.0,345.08,8.54,39953.21,938900.46,"$9,389,005","$938,900",$345,"$39,953",20,30,29,22
21,22,"Mount Gambier (C), Grant (DC)","Mount Gambier (C), Grant (DC)",13,359,16879.56,616.77,13.1,47347.98,1298427.43,"$16,879,557","$1,298,427",$617,"$47,348",12,15,17,17
22,23,"Mount Remarkable (DC), Orroroo/Carrieton (DC), Peterborough (DC)","Mount Remarkable (DC), Orroroo/Carrieton (DC), Peterborough (DC)",6,52,998.27,223.55,11.69,21239.85,166378.84,"$998,273","$166,379",$224,"$21,240",41,37,22,38
23,24,"Murray Bridge (RC), Karoonda East Murray (DC), Southern Mallee (DC)","Murray Bridge (RC), Karoonda East Murray (DC), Southern Mallee (DC)",10,186,10012.68,497.21,9.18,53831.6,1001267.79,"$10,012,678","$1,001,268",$497,"$53,832",19,19,28,15
24,25,"Naracoorte and Lucindale (DC), Robe (DC), Kingston (DC)","Naracoorte and Lucindale (DC), Robe (DC), Kingston (DC)",7,136,4464.48,459.79,14.01,31220.11,637782.28,"$4,464,476","$637,782",$460,"$31,220",29,21,13,27
25,26,Norwood Payneham St Peters (C),Norwood Payneham St Peters (C),17,567,29739.98,978.91,18.62,53974.55,1749410.31,"$29,739,975","$1,749,410",$979,"$53,975",8,2,7,14
26,27,Onkaparinga (C),Onkaparinga (C),23,747,59232.01,444.47,5.59,79293.19,2575305.0,"$59,232,015","$2,575,305",$444,"$79,293",3,22,39,6
27,28,Playford (C),Playford (C),10,355,33737.35,490.32,5.12,95981.07,3373734.76,"$33,737,348","$3,373,735",$490,"$95,981",6,20,40,2
28,29,Port Adelaide Enfield (C),Port Adelaide Enfield (C),36,1129,72500.01,715.1,11.09,62961.37,2013889.28,"$72,500,014","$2,013,889",$715,"$62,961",1,7,26,11
29,30,Port Augusta (C),Port Augusta (C),11,255,10840.38,992.18,23.45,42511.3,985489.18,"$10,840,381","$985,489",$992,"$42,511",18,1,2,20
30,31,Port Lincoln (C),Port Lincoln (C),7,212,8346.54,742.8,18.83,39370.49,1192363.37,"$8,346,544","$1,192,363",$743,"$39,370",24,5,6,23
31,32,Port Pirie City and Dists (M),Port Pirie City and Dists (M),8,203,9231.24,676.19,14.9,45474.07,1153904.55,"$9,231,236","$1,153,905",$676,"$45,474",21,9,10,19
32,33,"Prospect (C), Walkerville (M)","Prospect (C), Walkerville (M)",6,201,14630.46,621.32,8.51,72788.34,2438409.28,"$14,630,456","$2,438,409",$621,"$72,788",13,14,31,8
33,34,Renmark Paringa (DC),Renmark Paringa (DC),3,102,5007.68,641.6,13.04,45524.34,1669225.88,"$5,007,678","$1,669,226",$642,"$45,524",28,12,18,18
34,35,"Roxby Downs (M), Coober Pedy (DC), Flinders Ranges (DC)","Roxby Downs (M), Coober Pedy (DC), Flinders Ranges (DC)",6,130,3766.69,655.95,22.64,28974.52,627781.33,"$3,766,688","$627,781",$656,"$28,975",32,11,3,30
35,36,Salisbury (C),Salisbury (C),21,697,66515.42,606.44,6.33,95912.65,3167400.98,"$66,515,421","$3,167,401",$606,"$95,913",2,18,37,3
36,37,"The Coorong (DC), Tatiara (DC)","The Coorong (DC), Tatiara (DC)",8,122,2815.46,296.6,12.87,23077.58,351933.04,"$2,815,464","$351,933",$297,"$23,078",36,34,19,37
37,38,"Unincorporated SA,Anangu Pitjantjatjara (AC),Maralinga Tjarutja (AC)","Unincorporated SA,Anangu Pitjantjatjara (AC),Maralinga Tjarutja (AC)",6,60,430.39,0.0,0.0,7173.16,71731.59,"$430,390","$71,732",$0,"$7,173",44,0,0,44
38,39,Unley (C),Unley (C),8,255,13237.82,417.56,8.03,51913.03,1654727.97,"$13,237,824","$1,654,728",$418,"$51,913",17,25,33,16
39,40,Wakefield (DC),Wakefield (DC),6,44,806.98,155.42,8.52,16812.11,134496.84,"$806,981","$134,497",$155,"$16,812",42,40,30,41
40,41,Wattle Range (DC),Wattle Range (DC),6,106,2621.63,278.39,11.25,23941.85,436938.84,"$2,621,633","$436,939",$278,"$23,942",37,36,24,35
41,42,West Torrens (C),West Torrens (C),10,354,30604.19,616.17,7.11,86943.73,3060419.22,"$30,604,192","$3,060,419",$616,"$86,944",7,16,34,4
42,43,Whyalla (C),Whyalla (C),8,231,14201.54,857.58,14.07,61478.54,1775192.92,"$14,201,543","$1,775,193",$858,"$61,479",14,4,12,12
43,44,Yorke Peninsula (DC),Yorke Peninsula (DC),15,172,4045.69,427.95,18.18,23938.97,269712.44,"$4,045,687","$269,712",$428,"$23,939",30,23,8,36
