,PremisesName,Address,City,PostalCode,Latitude,Longitude,MachineCount,MeshBlockCode,CityCode,StateCode,State,LgaCode,LgaName,PostalCodePopulation,PostalCodeAvgTaxableIncome,PostalCodeRankTaxableIncome
0,AAMI Stadium,"1 Turner Dr, West Lakes SA 5021, Australia",West Lakes,5021,-34.87993470000001,138.4939822,40,40030670000,41554,4,South Australia,41060,Charles Sturt (C),3932,58756.0,57
1,Aberfoyle Tavern,"The Hub Shopping Centre, Christie Way, Aberfoyle Park SA 5159, Australia",Aberfoyle Park,5159,-35.0753426,138.5913242,40,40117850000,40001,4,South Australia,45340,Onkaparinga (C),20418,52190.0,114
2,Aces Bar and Bistro,"62-72 Gouger St, Adelaide SA 5000, Australia",Adelaide,5000,-34.9301124,138.5967667,36,40000010000,40002,4,South Australia,40070,Adelaide (C),7785,63332.0,33
3,Alberton Hotel,"124 Port Rd, Alberton SA 5014, Australia",Alberton,5014,-34.8610829,138.5142491,40,40150780000,40007,4,South Australia,45890,Port Adelaide Enfield (C),6570,49462.0,155
4,Albion Hotel,"423 Churchill Rd, Kilburn SA 5084, Australia",Kilburn,5084,-34.8603506,138.5833917,40,40142140000,40686,4,South Australia,45890,Port Adelaide Enfield (C),4683,41453.0,298
5,Aldgate Pump Hotel,"1 Strathalbyn Rd, Aldgate SA 5154, Australia",Aldgate,5154,-35.015222,138.7367067,40,40003800000,40008,4,South Australia,40120,Adelaide Hills (DC),2264,78864.0,10
6,Aldinga Hotel,"Old Coach Rd, Aldinga SA 5173, Australia",Aldinga,5173,-35.2671017,138.4827763,40,40111080000,40009,4,South Australia,45340,Onkaparinga (C),6633,45323.0,233
7,Alma Hotel,"11 Hill St, Willunga SA 5172, Australia",Willunga,5172,-35.2704817,138.5547211,12,40110930000,41595,4,South Australia,45340,Onkaparinga (C),2565,50498.0,140
8,Alma Tavern,"66 Magill Rd, Norwood SA 5067, Australia",Norwood,5067,-34.9156634,138.6273249,40,40106130000,41044,4,South Australia,45290,Norwood Payneham St Peters (C),6601,75339.0,13
9,Ambassadors Hotel,"107 King William St, Adelaide SA 5000, Australia",Adelaide,5000,-34.9253797,138.5996965,40,40000010000,40002,4,South Australia,40070,Adelaide (C),7785,63332.0,33
10,Angas Park Hotel,"28 Murray St, Nuriootpa SA 5355, Australia",Nuriootpa,5355,-34.4722304,138.996363,40,40013001000,41049,4,South Australia,40310,Barossa (DC),4424,50273.0,143
11,Angaston Hotel,"59 Murray St, Angaston SA 5353, Australia",Angaston,5353,-34.5013921,139.0456225,40,40012981000,40029,4,South Australia,40310,Barossa (DC),2258,51478.0,128
12,Angle Vale Tavern,"115 Heaslip Rd, Angle Vale SA 5117, Australia",Angle Vale,5117,-34.6460006,138.6440504,32,40135632000,40031,4,South Australia,45680,Playford (C),1839,52080.0,116
13,Anglers Inn Hotel Motel,"9 Bagot St, Wallaroo SA 5556, Australia",Wallaroo,5556,-33.92947,137.63018,25,40046150000,41502,4,South Australia,41560,Copper Coast (DC),1810,44280.0,251
14,Arab Steed Hotel,"241 Hutt St, Adelaide SA 5000, Australia",Adelaide,5000,-34.9338556,138.6121802,25,40000010000,40002,4,South Australia,40070,Adelaide (C),7785,63332.0,33
15,Ardrossan Motel Hotel,"36 First St, Ardrossan SA 5571, Australia",Ardrossan,5571,-34.4236607,137.9182323,12,40215010800,40038,4,South Australia,48830,Yorke Peninsula (DC),892,48107.0,186
16,Arkaba Hotel Motel,"150 Glen Osmond Rd, Fullarton SA 5063, Australia",Fullarton,5063,-34.9470333,138.6260611,40,40194850000,40464,4,South Australia,47980,Unley (C),7603,68387.0,21
17,Aurora Ozone Hotel,"overlooking the Foreshore, 67 Chapman Terrace, Kingscote SA 5223, Australia",Kingscote,5223,-35.655593,137.6403076,40,40060490000,40691,4,South Australia,42750,Kangaroo Island (DC),2106,41835.0,292
18,Aussie Inn,"108 Main S Rd, Hackham SA 5163, Australia",Hackham,5163,-35.1514326,138.5242314,40,40109100000,40538,4,South Australia,45340,Onkaparinga (C),6828,43205.0,273
19,Austral Motel-Hotel,"16 Railway Terrace, Quorn SA 5433, Australia",Quorn,5433,-32.3458026,138.0408244,15,40049500000,41220,4,South Australia,41830,Flinders Ranges (DC),649,51569.0,125
20,Avenues Hotel,"114 Payneham Rd, Stepney SA 5069, Australia",Stepney,5069,-34.9094831,138.6285675,40,40106811000,41369,4,South Australia,45290,Norwood Payneham St Peters (C),5370,81058.0,7
21,Avoca Hotel,"893 South Rd, Clarence Gardens SA 5039, Australia",Clarence Gardens,5039,-34.9743503,138.5735862,40,40090180000,40258,4,South Australia,44340,Mitcham (C),5093,51752.0,120
22,BH Community Club Inc,"39 Alexander St, Port Pirie SA 5540, Australia",Port Pirie,5540,-33.177563,138.008301,20,40156882000,41195,4,South Australia,46450,Port Pirie City and Dists (M),7028,49192.0,161
23,Barmera Hotel Motel,"31/31 Barwell Ave, Barmera SA 5345, Australia",Barmera,5345,-34.2506546,140.4637398,40,40016731000,40072,4,South Australia,40520,Berri and Barmera (DC),1929,43767.0,260
24,Barmera-Monash Football Club,"149 Dean Dr, Barmera SA 5345, Australia",Barmera,5345,-34.2484958,140.46249,14,40016731000,40072,4,South Australia,40520,Berri and Barmera (DC),1929,43767.0,260
25,Barossa Brauhaus,"41 Murray St, Angaston SA 5353, Australia",Angaston,5353,-34.5013118,139.0476734,40,40012981000,40029,4,South Australia,40310,Barossa (DC),2258,51478.0,128
26,Bartley Tavern,"Bartley Terrace, West Lakes Shore SA 5020, Australia",West Lakes Shore,5020,-34.8597222,138.4911111,40,40031310000,41555,4,South Australia,41060,Charles Sturt (C),1954,59154.0,55
27,Barzaar,"166 Unley Rd, Unley SA 5061, Australia",Unley,5061,-34.9491606,138.6070611,31,40195300000,41474,4,South Australia,47980,Unley (C),6587,93871.0,2
28,Bath Hotel,"232 The Parade, Norwood SA 5067, Australia",Norwood,5067,-34.9213381,138.6389237,40,40106130000,41044,4,South Australia,45290,Norwood Payneham St Peters (C),6601,75339.0,13
29,Bay Hotel Motel,"58 Broadway, Glenelg South SA 5045, Australia",Glenelg South,5045,-34.9883208,138.5165261,40,40054860000,40503,4,South Australia,42600,Holdfast Bay (C),10400,64336.0,29
30,Beach Hotel Seaford,"Commercial Road &, Griffiths Dr, Seaford SA 5169, Australia",Seaford,5169,-35.1928813,138.4784047,40,40121312000,41302,4,South Australia,45340,Onkaparinga (C),9675,47901.0,189
31,Beachport Hotel,"Railway Terrace, Beachport SA 5280, Australia",Beachport,5280,-37.480477,140.0121139,12,40205420000,40081,4,South Australia,48340,Wattle Range (DC),4016,50117.0,145
32,Bedford Hotel,"60 Onkaparinga Valley Rd, Woodside SA 5244, Australia",Woodside,5244,-34.951172,138.87609,12,40007480000,41627,4,South Australia,40120,Adelaide Hills (DC),2467,51561.0,126
33,Belair Hotel,"141 Main Rd, Blackwood SA 5051, Australia",Blackwood,5051,-35.0122222,138.6225,40,40084860000,40117,4,South Australia,44340,Mitcham (C),9162,59625.0,52
34,Benjamin On Franklin Hotel,"233 Franklin St, Adelaide SA 5000, Australia",Adelaide,5000,-34.9277913,138.5903495,22,40000010000,40002,4,South Australia,40070,Adelaide (C),7785,63332.0,33
35,Bentleys Hotel,"191 Main N Rd, Clare SA 5453, Australia",Clare,5453,-33.8352946,138.6140189,13,40044342000,40257,4,South Australia,41140,Clare and Gilbert Valleys (DC),3024,50599.0,139
36,Berri Club,"1080 Old Sturt Hwy, Berri SA 5343, Australia",Berri,5343,-34.2823902,140.5894336,12,40017290000,40096,4,South Australia,40520,Berri and Barmera (DC),2714,45504.0,230
37,Berri Hotel,"Riverview Dr, Berri SA 5343, Australia",Berri,5343,-34.2873341,140.6045917,40,40017290000,40096,4,South Australia,40520,Berri and Barmera (DC),2714,45504.0,230
38,Big River Tavern,"Shiell Rd, Berri SA 5343, Australia",Berri,5343,-34.26732,140.606702,40,40017290000,40096,4,South Australia,40520,Berri and Barmera (DC),2714,45504.0,230
39,Birkenhead Tavern,"3/7 Riverview St, Birkenhead SA 5015, Australia",Birkenhead,5015,-34.839925,138.503317,40,40144921000,40108,4,South Australia,45890,Port Adelaide Enfield (C),3526,52167.0,115
40,Black Bull Hotel,"58 Hindley St, Adelaide SA 5000, Australia",Adelaide,5000,-34.922649,138.597212,40,40000010000,40002,4,South Australia,40070,Adelaide (C),7785,63332.0,33
41,Blacksmiths Inn,"Black Top Rd, One Tree Hill SA 5114, Australia",One Tree Hill,5114,-34.7190552,138.7660217,12,40129490000,41065,4,South Australia,45680,Playford (C),17569,47468.0,192
42,Blanchetown Hotel,"1 Egerton St, Blanchetown SA 5357, Australia",Blanchetown,5357,-34.3515649,139.6140469,40,40082501000,40122,4,South Australia,44210,Mid Murray (DC),203,37548.0,320
43,Blue Gums Hotel,"345 Hancock Rd, Fairview Park SA 5126, Australia",Fairview Park,5126,-34.8004605,138.7178448,40,40184140000,40424,4,South Australia,47700,Tea Tree Gully (C),4375,51125.0,135
44,Blumberg Hotel,"24 Shannon St, Birdwood SA 5234, Australia",Birdwood,5234,-34.8203368,138.9555314,18,40006790000,40107,4,South Australia,40120,Adelaide Hills (DC),871,51394.0,130
45,Bordertown Hotel,"79 East Terrace, Bordertown SA 5268, Australia",Bordertown,5268,-36.3102007,140.775349,30,40179910000,40142,4,South Australia,47630,Tatiara (DC),2412,42745.0,282
46,Bridge Hotel Langhorne Creek,"70 Bridge Rd, Langhorne Creek SA 5255, Australia",Langhorne Creek,5255,-35.296674,139.037123,8,40011150000,40741,4,South Australia,40220,Alexandrina (DC),5359,46377.0,215
47,Bridgeport Hotel,"2 Bridge St, Murray Bridge SA 5253, Australia",Murray Bridge,5253,-35.1177778,139.2780556,40,40099410000,40979,4,South Australia,45040,Murray Bridge (RC),9833,41308.0,300
48,Bridgewater Inn,"387 Mount Barker Rd, Bridgewater SA 5155, Australia",Bridgewater,5155,-35.0090942,138.7573395,32,40003830000,40158,4,South Australia,40120,Adelaide Hills (DC),2428,58494.0,61
49,Bridgeway Hotel,"18 Bridge Rd, Pooraka SA 5095, Australia",Pooraka,5095,-34.8358333,138.6247222,40,40173300000,41171,4,South Australia,47140,Salisbury (C),11753,51433.0,129
50,Brighton Metro Hotel,"466 Brighton Rd, Brighton SA 5048, Australia",Brighton,5048,-35.0187753,138.5243108,40,40057990000,40160,4,South Australia,42600,Holdfast Bay (C),8756,58653.0,58
51,Britannia Hotel,"1 Kensington Rd, Norwood SA 5067, Australia",Norwood,5067,-34.927767,138.6240106,40,40106130000,41044,4,South Australia,45290,Norwood Payneham St Peters (C),6601,75339.0,13
52,Broadway Hotel,"61 Broadway, Glenelg SA 5045, Australia",Glenelg,5045,-34.9878742,138.516988,40,40054740000,40500,4,South Australia,42600,Holdfast Bay (C),10400,64336.0,29
53,Brompton Hotel,"5 First St, Brompton SA 5007, Australia",Brompton,5007,-34.9026013,138.5719647,30,40040810000,40165,4,South Australia,41060,Charles Sturt (C),4256,54415.0,91
