,MeshBlockCode,CityCode,City,StateCode,State,LgaCode,LgaName,Key,LgaGroup,VenueCount,EgmCount,TotalNgr,TotalNgrPerAdult,MachinesPer1000Adult,AvgNgrPerMachine,AggregateNgrPerLgaStr,AverageNgrPerVenueStr,TotalNgrPerAdultStr,AvgNgrPerMachineStr,RankTotalNgr,RankTotalNgrPerAdult,RankEgmsPer1000Adult,RankAvgNgrPerMachine,Address,PostalCode,Latitude,Longitude,People,MedianAge,HouseholdIncome,Dwellings
0,40023510000,40048,Athelstone,4,South Australia,40910,Campbelltown (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Athelstone SA 5076, Australia",5076,-34.87,138.703,9149.0,43,"1,634","3,327"
1,40027041000,40211,Campbelltown,4,South Australia,40910,Campbelltown (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Campbelltown SA 5074, Australia",5074,-34.878,138.663,8152.0,41,"1,040","3,221"
2,40027190000,40576,Hectorville,4,South Australia,40910,Campbelltown (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Hectorville SA 5073, Australia",5073,-34.8929224,138.6652086,3738.0,40,"1,043","1,554"
3,40023600000,41020,Newton,4,South Australia,40910,Campbelltown (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Newton SA 5074, Australia",5074,-34.880165,138.6815087,4788.0,41,"1,267","1,827"
4,40023650000,41090,Paradise,4,South Australia,40910,Campbelltown (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Paradise SA 5075, Australia",5075,-34.872,138.676,6776.0,43,"1,192","2,582"
5,40027202000,41455,Tranmere,4,South Australia,40910,Campbelltown (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Tranmere SA 5073, Australia",5073,-34.905,138.662,3757.0,39,"1,425","1,433"
6,40184040000,40069,Banksia Park,4,South Australia,47700,Tea Tree Gully (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Banksia Park SA 5091, Australia",5091,-34.8090822,138.7316925,3286.0,40,"1,492","1,179"
7,40184140000,40424,Fairview Park,4,South Australia,47700,Tea Tree Gully (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Fairview Park SA 5126, Australia",5126,-34.7999009,138.7316925,3600.0,40,"1,525","1,319"
8,40184101000,40511,Golden Grove,4,South Australia,47700,Tea Tree Gully (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Golden Grove SA 5125, Australia",5125,-34.7838889,138.7061111,10237.0,42,"1,519","3,763"
9,40185520000,40532,Greenwith,4,South Australia,47700,Tea Tree Gully (C),7,"Campbelltown (C), Tea Tree Gully (C)",12,438,43922.81,366.6,3.65,100625.0,"$43,922,813","$3,660,234",$367,"$100,625",5,27,42,1,"Greenwith SA 5125, Australia",5125,-34.766,138.715,8992.0,38,"1,622","3,224"
